lat,long,X,Y,log_price,sqft_living,sqft_lot,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,yr_built
47.6898,-122.015,573915.6225380934,5282293.596728516,13.413539339110365,2470.0,8.506334448081361,4.0,2.5,2.0,0.0,0.0,3.0,8.0,2470.0,2012.0
47.723,-122.353,548520.9863541472,5285716.275893243,13.038981768465275,1870.0,9.660523873772611,3.0,1.5,1.0,0.0,0.0,3.0,7.0,1470.0,1936.0
47.2915,-122.368,547786.1394490993,5237751.941673421,12.154779351142624,1400.0,9.1085291058295,2.0,1.5,1.0,0.0,0.0,3.0,7.0,960.0,1982.0
47.6732,-122.29,553296.302948006,5280222.943179956,13.42984807715229,2330.0,8.294299608857235,3.0,2.25,1.5,0.0,2.0,5.0,7.0,1520.0,1927.0
47.3556,-122.026,573555.8955139339,5245141.787217043,12.842649474601725,2790.0,8.444837529224097,4.0,2.5,2.0,0.0,0.0,3.0,8.0,2790.0,2004.0
47.6172,-122.298,552752.1379614425,5273993.733850631,13.38472764187182,1050.0,7.841099765422119,2.0,1.0,1.0,0.0,0.0,3.0,7.0,880.0,1904.0
47.5319,-121.84,587310.1274660269,5264926.989939385,12.542544882151386,1610.0,11.97388204278308,2.0,1.75,1.5,0.0,0.0,2.0,6.0,1610.0,1948.0
47.3596,-122.089,568793.0072126425,5245528.7429583,12.542187675503545,1410.0,8.79497643168877,3.0,2.0,1.0,0.0,0.0,4.0,7.0,1410.0,1990.0
47.6926,-122.186,561080.3887879864,5282455.796927486,13.353475098367715,2190.0,9.198369000194964,4.0,2.5,1.0,0.0,0.0,4.0,8.0,1410.0,1979.0
47.6901,-122.357,548251.3674215951,5282057.288078839,13.38472764187182,2610.0,8.333510708982942,4.0,2.75,3.0,0.0,0.0,5.0,8.0,1910.0,1910.0
47.5171,-122.347,549163.6067716711,5262836.779039388,12.52379883933033,1410.0,7.595387278853972,3.0,1.75,2.0,0.0,0.0,3.0,8.0,1410.0,2014.0
47.6727,-122.297,552771.3529758243,5280162.583368602,13.704578997256991,2640.0,8.294299608857235,4.0,2.75,2.0,0.0,0.0,5.0,8.0,1730.0,1925.0
47.5942,-122.135,565029.2800858191,5271561.311883706,13.112313041550829,1940.0,9.120962560824966,4.0,2.25,1.0,0.0,0.0,4.0,7.0,1430.0,1956.0
47.6775,-122.18,561548.3712666357,5280782.351112985,13.065793025915934,1440.0,9.052164937010309,4.0,1.75,1.0,0.0,0.0,4.0,7.0,1440.0,1961.0
47.4353,-122.084,569071.5662342953,5253945.935986111,12.983101310070822,1960.0,10.822035734451498,4.0,2.0,1.0,0.0,0.0,4.0,7.0,1050.0,1963.0
