lat,long,log_price,sqft_living,sqft_lot,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,yr_built
47.6898,-122.015,13.413539339110365,2470.0,8.506334448081361,4.0,2.5,2.0,0.0,0.0,3.0,8.0,2470.0,2012.0
47.723,-122.353,13.038981768465275,1870.0,9.660523873772611,3.0,1.5,1.0,0.0,0.0,3.0,7.0,1470.0,1936.0
47.2915,-122.368,12.154779351142624,1400.0,9.1085291058295,2.0,1.5,1.0,0.0,0.0,3.0,7.0,960.0,1982.0
47.6732,-122.29,13.42984807715229,2330.0,8.294299608857235,3.0,2.25,1.5,0.0,2.0,5.0,7.0,1520.0,1927.0
47.3556,-122.026,12.842649474601725,2790.0,8.444837529224097,4.0,2.5,2.0,0.0,0.0,3.0,8.0,2790.0,2004.0
47.6172,-122.298,13.38472764187182,1050.0,7.841099765422119,2.0,1.0,1.0,0.0,0.0,3.0,7.0,880.0,1904.0
47.5319,-121.84,12.542544882151386,1610.0,11.97388204278308,2.0,1.75,1.5,0.0,0.0,2.0,6.0,1610.0,1948.0
47.3596,-122.089,12.542187675503545,1410.0,8.79497643168877,3.0,2.0,1.0,0.0,0.0,4.0,7.0,1410.0,1990.0
47.6926,-122.186,13.353475098367715,2190.0,9.198369000194964,4.0,2.5,1.0,0.0,0.0,4.0,8.0,1410.0,1979.0
47.6901,-122.357,13.38472764187182,2610.0,8.333510708982942,4.0,2.75,3.0,0.0,0.0,5.0,8.0,1910.0,1910.0
47.5171,-122.347,12.52379883933033,1410.0,7.595387278853972,3.0,1.75,2.0,0.0,0.0,3.0,8.0,1410.0,2014.0
47.6727,-122.297,13.704578997256991,2640.0,8.294299608857235,4.0,2.75,2.0,0.0,0.0,5.0,8.0,1730.0,1925.0
47.5942,-122.135,13.112313041550829,1940.0,9.120962560824966,4.0,2.25,1.0,0.0,0.0,4.0,7.0,1430.0,1956.0
47.6775,-122.18,13.065793025915934,1440.0,9.052164937010309,4.0,1.75,1.0,0.0,0.0,4.0,7.0,1440.0,1961.0
47.4353,-122.084,12.983101310070822,1960.0,10.822035734451498,4.0,2.0,1.0,0.0,0.0,4.0,7.0,1050.0,1963.0
47.2596,-122.194,12.962185235536063,2568.0,8.517393171418904,4.0,2.5,2.0,0.0,0.0,3.0,9.0,2568.0,2014.0
